"","hour","minute","seconds","quiet","soft_speech","loud_speech","soft_noise_speech","loud_noise_speech","soft_noise","loud_noise","warp_1","warp_2","warp_3","warp_4","warp_5","warp_6","warp_7","warp_8","warp_9","warp_10","warp_11","warp_12","warp_13","warp_14","warp_15","warp_16","warp_17","as_mix_bassZeroOrOne_1","as_mix_bassZeroOrOne_2","as_zoom_amount_1","as_zoom_amount_2","as_mie_factor","speech_detector_probability","speech_detector_states_1","speech_detector_states_2","speech_detector_states_3","rear_speech_detector_probability","noise_detector_probability","broadband power","pnr_env_state_1","pnr_env_state_2","pnr_env_state_3","pnr_env_state_4","pnr_env_state_5","pnr_env_state_6","pnr_env_state_7","pnr_env_state_8","pnr_env_state_9","pnr_env_state_10","pnr_env_state_11","pnr_env_state_12","pnr_env_state_13","pnr_env_state_14","pnr_env_state_15","pnr_env_state_16","pnr_env_state_17","pnr_amb_state_1","pnr_amb_state_2","pnr_amb_state_3","pnr_amb_state_4","pnr_amb_state_5","pnr_amb_state_6","pnr_amb_state_7","pnr_amb_state_8","pnr_amb_state_9","pnr_amb_state_10","pnr_amb_state_11","pnr_amb_state_12","pnr_amb_state_13","pnr_amb_state_14","pnr_amb_state_15","pnr_amb_state_16","pnr_amb_state_17","class","mean_env","mean_amb"
"1",12,23,35,0.99997,0,0,0,0,0,0,41.36719,41.67188,35.76563,32.76563,30.35156,28.82813,31.85156,37.35938,38.13281,34.28906,28.03125,29.27344,23.625,31.21875,31.875,30.32813,37.17188,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.18359,0.00012,79.5,42.82662,42.12445,33.58575,30.4981,28.59609,31.18248,30.33551,27.46443,26.86181,28.9864,28.62477,29.43927,27.83575,26.1073,26.10892,27.5297,26.06879,42.84903,42.12975,32.65936,28.76248,25.09773,23.60759,23.12724,22.78189,22.73262,23.21159,23.29711,23.68698,24.54639,24.35397,25.02276,25.46093,21.29723,1,30.2456552941176,26.7426264705882
"2",12,23,36,0.95624,0,0,0,0,0.04373,0.04373,39.09375,37.125,25.92188,30.82031,29.625,22.47656,21.14063,18.04688,27.9375,31.52344,28.14844,32.8125,38.46094,37.66406,34.125,28.21875,39.46875,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.32843,0.04779,83.22656,42.79693,42.08977,32.97865,29.57683,31.11081,33.01682,32.82506,33.11132,34.38829,34.89459,34.04593,30.7101,36.7341,35.92582,34.33298,35.1175,30.41306,42.81389,42.11614,32.82741,28.42963,25.14812,23.77468,22.6646,22.54493,22.65032,22.88309,23.15556,23.87377,24.66682,24.42818,25.1447,25.5824,21.48916,1,34.3569741176471,26.7172588235294
"3",12,23,38,0.76526,0,0,0,0,0.23471,0.23471,42.75,42.07031,31.35938,31.92188,30.89063,23.64844,17.74219,25.85156,32.625,32.34375,24.1875,28.35938,32.57813,32.90625,38.08594,41.50781,40.35938,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.19095,0.24048,82.00781,42.82287,42.15765,33.57671,33.1528,31.04525,28.34485,28.94034,30.29908,29.99678,31.5632,32.36268,33.35489,30.29629,35.72786,35.44366,37.95648,28.1312,42.88711,42.18546,33.12552,29.11628,25.97244,24.55447,23.52626,23.11939,22.98731,22.89899,23.16557,23.72853,24.43497,24.42772,25.17021,25.55526,21.65475,1,33.2454464705882,26.9711905882353
"4",12,23,39,0.57599,0,0,0,0,0.34735,0.42398,44.29688,44.36719,38.10938,33.58594,25.14844,19.71094,23.32031,25.33594,22.19531,30.30469,33.28125,33.58594,36.46875,33.91406,35.50781,33.04688,36,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.3472,0.43188,83.34375,42.87682,42.19084,33.88863,28.45543,27.19943,25.19048,25.47057,28.9434,31.2008,33.5002,32.32813,32.23207,31.41041,35.4737,37.00787,34.7909,29.21054,42.82899,42.15348,33.20437,28.47824,25.22886,23.67732,22.85851,22.86852,22.84027,22.79304,23.17896,23.66544,24.65462,24.6452,25.37968,25.66595,21.7213,1,32.4335423529412,26.8142794117647
"5",12,23,40,0.39954,0,0,0,0,0.28903,0.60043,42.16406,40.47656,27.79688,32.20313,29.76563,24.89063,28.17188,31.33594,33.25781,33.1875,35.8125,37.73438,36.70313,31.71094,37.03125,38.27344,38.41406,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.22345,0.60535,86.76563,42.85086,42.18104,32.97857,32.63627,34.0147,31.96677,30.58226,32.34597,34.2265,33.15651,32.39858,35.69505,36.2294,33.60462,34.82288,35.98971,29.63408,42.80339,42.15099,33.00039,28.75258,25.37104,23.80434,23.03775,22.92089,22.77741,22.96693,23.43175,23.91583,24.47109,24.59489,25.26931,25.32189,21.37755,1,34.4302217647059,26.8216482352941
"6",12,23,41,0.22864,0,0,0,0,0.4382,0.56177,43.125,41.90625,32.0625,30.28125,27.58594,24.67969,22.38281,23.57813,23.78906,25.94531,26.50781,28.17188,25.875,21.5625,24.49219,25.47656,39.1875,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.10001,0.77902,77.8125,42.846,42.10263,32.15576,30.22894,29.6296,28.64148,25.02438,23.73086,24.1315,26.35193,26.94682,28.43061,27.5783,29.07906,28.60323,27.91193,21.81906,42.86923,42.13626,32.24216,28.2051,25.94185,25.02295,24.06463,23.65879,23.25191,23.07824,23.33099,23.90112,24.68743,24.53566,25.23236,25.68812,21.809,1,29.1301229411765,27.0385764705882
"7",12,23,43,0.05432,0,0,0,0,0.45963,0.54034,41.01563,38.95313,24.77344,22.57031,25.54688,26.15625,23.36719,26.01563,22.3125,18.86719,22.71094,23.88281,19.03125,23.67188,25.85156,22.75781,24.96094,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.95099,76.875,42.88447,42.13072,32.35875,28.05509,31.12407,31.09545,30.73318,27.32665,29.92447,33.03453,33.20115,32.23375,31.12863,30.05315,30.24926,31.65619,25.75802,42.87014,42.11905,32.30531,28.38206,25.77011,24.87096,24.3438,23.67485,23.35204,23.21481,23.50573,24.16914,24.78601,24.76768,25.5157,25.77917,21.69322,1,31.93809,27.1246929411765
"8",12,23,44,0,0,0,0,0,0.36679,0.63318,42.49219,40.6875,29.48438,30.39844,30.49219,26.97656,31.26563,30.32813,28.73438,28.33594,27.96094,34.07813,40.66406,41.15625,41.85938,41.71875,31.24219,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.20953,0.99997,82.64063,42.92405,42.24036,33.83227,30.43541,30.70569,31.1417,28.79895,29.62005,33.14455,34.60211,32.60753,35.41581,37.15351,35.47053,35.62982,36.15759,34.49299,42.8443,42.16983,33.11843,28.69887,25.5897,23.97685,22.97832,22.58493,22.34441,22.65695,23.2639,23.75229,24.54227,24.35692,25.15115,25.55012,21.63472,1,34.3748776470588,26.7772917647059
"9",12,23,45,0,0,0,0,0,0.38821,0.61176,42.07031,41.27344,31.17188,27.49219,23.25,28.38281,31.57031,28.5,28.82813,34.03125,32.92969,33.35156,34.125,38.625,43.03125,43.59375,29.22656,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0.00137,0,0.1709,0.99997,80.97656,42.92457,42.1687,33.18919,31.55728,32.20252,32.11042,29.05813,29.1782,31.08306,32.41225,32.92426,33.78532,35.95711,35.34188,32.92287,35.91826,34.49255,42.87309,42.11922,32.86953,29.28252,26.04512,24.83695,23.69951,23.51879,23.15104,23.12287,23.19109,23.55788,24.41452,24.5583,25.36017,25.79213,22.02226,1,33.9545041176471,27.0832347058824
"10",12,23,46,0,0,0,0,0,0.35449,0.64548,42.84375,42.46875,35.25,33.63281,32.08594,29.625,27.39844,29.29688,29.74219,25.57031,34.61719,34.78125,34.66406,32.27344,41.27344,46.73438,36.375,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.1123,0.99997,83.29688,42.80849,42.10051,33.27185,33.03438,32.44691,30.06934,27.56916,27.55875,26.35037,27.34469,31.01769,33.85544,33.72547,29.77595,29.09624,28.31488,26.43241,42.84915,42.13415,32.80639,28.61233,25.63647,24.03234,23.18056,22.77697,22.60285,22.94375,23.22421,23.82754,24.64158,24.40879,25.39618,26.01395,21.71443,1,31.4572076470588,26.8706847058824
