"","hour","minute","seconds","quiet","soft_speech","loud_speech","soft_noise_speech","loud_noise_speech","soft_noise","loud_noise","warp_1","warp_2","warp_3","warp_4","warp_5","warp_6","warp_7","warp_8","warp_9","warp_10","warp_11","warp_12","warp_13","warp_14","warp_15","warp_16","warp_17","as_mix_bassZeroOrOne_1","as_mix_bassZeroOrOne_2","as_zoom_amount_1","as_zoom_amount_2","as_mie_factor","speech_detector_probability","speech_detector_states_1","speech_detector_states_2","speech_detector_states_3","rear_speech_detector_probability","noise_detector_probability","broadband power","pnr_env_state_1","pnr_env_state_2","pnr_env_state_3","pnr_env_state_4","pnr_env_state_5","pnr_env_state_6","pnr_env_state_7","pnr_env_state_8","pnr_env_state_9","pnr_env_state_10","pnr_env_state_11","pnr_env_state_12","pnr_env_state_13","pnr_env_state_14","pnr_env_state_15","pnr_env_state_16","pnr_env_state_17","pnr_amb_state_1","pnr_amb_state_2","pnr_amb_state_3","pnr_amb_state_4","pnr_amb_state_5","pnr_amb_state_6","pnr_amb_state_7","pnr_amb_state_8","pnr_amb_state_9","pnr_amb_state_10","pnr_amb_state_11","pnr_amb_state_12","pnr_amb_state_13","pnr_amb_state_14","pnr_amb_state_15","pnr_amb_state_16","pnr_amb_state_17","class","mean_env","mean_amb"
"1",12,23,32,0.99997,0,0,0,0,0,0,43.42969,42.1875,37.10156,37.54688,35.25,29.55469,21.04688,24.98438,33.96094,35.55469,35.36719,35.50781,33.42188,34.28906,42,45.67969,22.05469,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.09833,0,77.74219,42.95329,42.25718,34.44491,33.86677,32.66141,29.93038,27.1696,28.24145,31.16405,35.65908,36.33433,36.65198,36.09968,33.17287,38.62844,39.56014,35.1764,42.91795,42.20324,32.97343,28.75874,25.89091,24.87113,23.76453,23.42759,23.31412,23.38948,23.51702,24.0966,24.9777,24.75751,25.63763,26.07814,22.28871,1,34.9395270588235,27.2273194117647
"2",12,23,34,0.99985,0,0,0,0,0.00012,0.00012,44.71875,44.01563,33.60938,28.07813,30.39844,31.17188,25.96875,26.17969,32.08594,36.14063,34.52344,30.42188,34.42969,39.58594,43.80469,46.17188,39.98438,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.15839,0,80.90625,42.96533,42.22775,33.44016,35.14183,33.52273,31.62089,28.93049,29.25184,31.51794,32.89083,34.11022,35.48846,35.8092,36.37822,38.57638,39.29053,34.04073,42.89202,42.18134,32.8871,29.13256,26.23198,24.70897,23.47665,23.34071,23.12937,23.26264,23.76442,24.35311,24.94332,24.81312,25.64065,26.24192,22.42907,1,35.0119723529412,27.2605264705882
"3",12,23,35,0.99976,0,0,0,0,0.00021,0.00021,42.65625,42.75,38.4375,37.54688,30.53906,28.17188,19.92188,19.5,25.33594,26.60156,32.15625,36.1875,38.71875,39.86719,44.46094,46.66406,28.125,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.06989,0,78.04688,42.87682,42.11759,32.89164,34.101,34.74989,31.73649,30.52124,26.36836,32.15434,33.99788,33.54699,33.55599,36.56618,36.64524,34.00885,34.33517,34.14237,42.88289,42.135,32.70141,28.13062,24.8913,23.66125,23.50479,23.23993,22.9085,23.31561,23.84891,24.20552,25.13809,24.95349,25.93658,26.32763,22.26543,1,34.3715317647059,27.0615852941176
"4",12,23,36,0.97562,0,0,0,0,0.02435,0.02435,43.89844,42.79688,32.46094,31.35938,21.63281,19.40625,23.46094,24.82031,24.58594,22.40625,26.57813,30.63281,28.125,31.33594,39.25781,42.42188,16.59375,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.10849,0.03012,82.92188,43.0018,42.26735,33.07235,28.97898,28.61012,29.5726,28.93604,27.52465,28.06682,31.77681,33.06408,33.90908,34.95848,32.28655,31.27211,30.5708,20.73748,42.9172,42.19179,32.87032,28.75718,25.43057,24.12905,23.18398,22.79791,22.84761,23.13286,23.71591,24.31638,24.9978,24.78298,25.46114,25.96572,21.81793,1,31.6827117647059,27.0186076470588
"5",12,23,37,0.79105,0,0,0,0,0.20892,0.20892,43.59375,41.90625,30.39844,28.85156,23.67188,23.4375,22.96875,16.96875,17.90625,20.0625,21.77344,25.3125,25.80469,21.98438,19.47656,21.04688,36.25781,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.2164,81.9375,42.91494,42.23235,34.19599,29.97179,27.67115,25.82083,24.06013,24.40758,23.41157,22.75347,22.74077,23.03751,25.97058,28.45995,29.59652,29.10521,27.18092,42.89181,42.16366,32.99881,28.56484,25.62476,24.65137,23.87468,23.54326,23.63747,23.92649,24.14759,24.46242,25.27081,25.21237,26.08194,26.51428,22.2322,1,28.4430152941176,27.3999270588235
"6",12,23,39,0.60306,0,0,0,0,0.36758,0.39691,43.3125,41.69531,30.30469,32.13281,29.22656,24.42188,19.24219,22.10156,23.46094,22.03125,16.125,20.03906,24.67969,27.25781,26.46094,26.08594,38.69531,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.03394,0.40503,82.875,42.98266,42.25086,33.69225,28.94347,25.5546,26.34338,24.99451,22.62677,24.32199,24.05272,25.19606,25.13191,26.3694,25.93944,25.55132,26.50714,20.45705,42.90637,42.18096,32.91949,28.77555,25.86317,24.70072,23.6809,23.44522,23.41153,23.58348,23.92604,24.36661,25.35687,25.33071,26.24664,26.73633,22.89143,1,27.7009135294118,27.4307070588235
"7",12,23,40,0.4202,0,0,0,0,0.30808,0.57977,43.96875,43.89844,37.82813,30.58594,19.54688,26.83594,30.39844,31.35938,32.78906,34.52344,35.69531,37.19531,34.73438,37.19531,43.05469,43.66406,45.09375,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.58469,85.96875,42.94218,42.27035,33.49936,30.38984,33.06228,34.3314,33.14977,32.02676,33.71048,34.13804,36.33146,36.19218,35.96113,38.41333,41.50191,42.92769,36.0674,42.89849,42.1898,33.22919,28.70444,25.05324,23.81618,23.27022,23.14119,23.22574,23.36681,23.70838,24.2199,25.14234,24.75325,25.7472,26.26598,22.44666,1,36.2891505882353,27.1281770588235
"8",12,23,41,0.24503,0,0,0,0,0.42233,0.57764,43.875,43.59375,39.07031,37.21875,30.25781,29.8125,29.74219,29.29688,32.95313,35.57813,32.69531,28.40625,26.50781,34.52344,37.71094,43.14844,43.82813,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.75986,78.9375,42.95344,42.19338,32.83942,32.59764,33.68447,32.80624,32.45304,32.34757,31.60066,32.29636,35.5712,34.85851,34.32001,39.04783,41.76655,41.98535,32.9723,42.93305,42.17578,32.55546,28.48782,25.53479,24.86869,24.09143,23.81622,23.53428,23.56405,24.06627,24.51004,25.25699,24.87796,25.60494,25.94474,22.08993,1,35.6643511764706,27.2889670588235
"9",12,23,43,0.07327,0,0,0,0,0.4509,0.54907,42.28125,41.60156,30.9375,20.57813,24.11719,27.44531,29.90625,30.86719,30.70313,31.07813,32.13281,34.85156,36.70313,34.35938,37.33594,38.15625,41.34375,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0,0.9314,77.34375,42.95018,42.19442,32.91721,30.25724,31.70181,33.73205,33.11825,32.35051,33.38562,33.64757,34.43247,32.99074,35.83253,38.03977,37.98434,31.57887,34.29685,42.9574,42.17959,32.60689,28.95551,26.30724,25.48897,24.60181,24.03653,23.25605,23.43191,23.68422,24.0254,24.81124,24.50063,25.61045,25.98969,21.86883,1,34.7888488235294,27.3124917647059
"10",12,23,44,0,0,0,0,0,0.37949,0.62048,43.26563,42.39844,32.90625,28.19531,27.79688,29.85938,21.30469,22.61719,27.1875,25.33594,23.50781,32.97656,40.5,39.79688,40.75781,44.74219,38.83594,0.9999998808,0,0,0.9999998808,0.9999998808,0,0,0,0,0.10135,0.99997,81.70313,42.86773,42.18283,33.33599,31.07027,33.69811,34.83969,31.84629,32.55086,36.19231,37.04459,37.1349,36.97767,36.84546,36.76082,36.19017,36.21166,32.08361,42.88733,42.163,32.92299,28.73855,25.75005,24.64576,23.89194,23.74535,23.27781,23.43249,23.56316,24.14433,24.74739,24.81033,25.57671,25.94917,22.03578,1,35.75488,27.1930670588235
